aa		11.00000		3.00000		21.00000		6.00000		1.00000		1.00000		1.00000		1.00000		2.00000		1.00000		3.00000		6.00000		8.00000		23.00000		0.00000		5.00000		0.00000		36.00000		15.00000		8.00000		4.00000		1.00000		0.00000		1.00000		2.00000		0.00000		47.00000		
ab		208.00000		126.00000		15.00000		25.00000		192.00000		1.00000		3.00000		8.00000		683.00000		5.00000		1.00000		2803.00000		1.00000		8.00000		2811.00000		5.00000		0.00000		124.00000		307.00000		1.00000		154.00000		1.00000		8.00000		0.00000		95.00000		0.00000		145.00000		
ac		235.00000		12.00000		1502.00000		7.00000		2140.00000		4.00000		7.00000		2162.00000		545.00000		0.00000		2367.00000		78.00000		10.00000		3.00000		78.00000		7.00000		95.00000		338.00000		16.00000		4125.00000		142.00000		0.00000		0.00000		0.00000		282.00000		1.00000		143.00000		
ad		336.00000		36.00000		36.00000		1114.00000		2030.00000		14.00000		23.00000		41.00000		1089.00000		110.00000		2.00000		162.00000		362.00000		19.00000		343.00000		10.00000		19.00000		63.00000		292.00000		15.00000		285.00000		705.00000		22.00000		1.00000		450.00000		2.00000		3945.00000		
ae		14.00000		2.00000		4.00000		29.00000		2.00000		2.00000		5.00000		1.00000		1.00000		0.00000		2.00000		266.00000		8.00000		7.00000		27.00000		1.00000		0.00000		30.00000		37.00000		12.00000		14.00000		12.00000		0.00000		0.00000		1.00000		1.00000		62.00000		
af		30.00000		3.00000		4.00000		0.00000		221.00000		623.00000		57.00000		1.00000		28.00000		0.00000		2.00000		22.00000		1.00000		2.00000		17.00000		3.00000		0.00000		205.00000		5.00000		1372.00000		2.00000		0.00000		0.00000		0.00000		4.00000		0.00000		50.00000		
ag		995.00000		17.00000		3.00000		8.00000		3647.00000		1.00000		184.00000		24.00000		422.00000		0.00000		0.00000		34.00000		30.00000		185.00000		372.00000		3.00000		0.00000		475.00000		54.00000		1.00000		168.00000		0.00000		8.00000		0.00000		2.00000		1.00000		134.00000		
ah		94.00000		1.00000		3.00000		4.00000		95.00000		1.00000		1.00000		2.00000		17.00000		3.00000		0.00000		12.00000		24.00000		10.00000		48.00000		1.00000		0.00000		18.00000		5.00000		1.00000		18.00000		1.00000		2.00000		0.00000		4.00000		3.00000		306.00000		
ai		16.00000		4.00000		23.00000		1508.00000		6.00000		5.00000		230.00000		0.00000		18.00000		13.00000		10.00000		1550.00000		416.00000		4354.00000		6.00000		6.00000		1.00000		977.00000		310.00000		390.00000		1.00000		20.00000		12.00000		3.00000		2.00000		2.00000		115.00000		
aj		23.00000		0.00000		1.00000		5.00000		21.00000		0.00000		0.00000		0.00000		6.00000		2.00000		0.00000		0.00000		0.00000		3.00000		310.00000		1.00000		0.00000		1.00000		2.00000		0.00000		6.00000		0.00000		1.00000		0.00000		0.00000		0.00000		19.00000		
ak		69.00000		2.00000		10.00000		16.00000		2986.00000		28.00000		0.00000		13.00000		838.00000		0.00000		13.00000		11.00000		2.00000		27.00000		25.00000		1.00000		1.00000		4.00000		104.00000		16.00000		15.00000		0.00000		3.00000		0.00000		14.00000		0.00000		360.00000		
al		516.00000		155.00000		155.00000		148.00000		1170.00000		254.00000		67.00000		12.00000		2329.00000		7.00000		581.00000		9438.00000		380.00000		23.00000		615.00000		69.00000		11.00000		287.00000		2321.00000		1162.00000		479.00000		61.00000		407.00000		0.00000		309.00000		8.00000		11909.00000		
am		663.00000		256.00000		8.00000		14.00000		3610.00000		1.00000		4.00000		8.00000		1044.00000		0.00000		1.00000		21.00000		292.00000		55.00000		664.00000		1127.00000		0.00000		4.00000		410.00000		9.00000		54.00000		1.00000		10.00000		0.00000		28.00000		1.00000		1712.00000		
an		1161.00000		22.00000		2842.00000		27727.00000		716.00000		32.00000		2098.00000		26.00000		1688.00000		11.00000		991.00000		24.00000		12.00000		1126.00000		706.00000		6.00000		15.00000		9.00000		2265.00000		4189.00000		320.00000		17.00000		37.00000		33.00000		3255.00000		41.00000		12080.00000		
ao		2.00000		2.00000		1.00000		0.00000		1.00000		0.00000		0.00000		6.00000		4.00000		0.00000		3.00000		11.00000		3.00000		8.00000		0.00000		2.00000		0.00000		44.00000		21.00000		5.00000		6.00000		0.00000		0.00000		0.00000		0.00000		1.00000		41.00000		
ap		381.00000		5.00000		5.00000		1.00000		702.00000		3.00000		2.00000		457.00000		295.00000		0.00000		3.00000		46.00000		5.00000		7.00000		247.00000		2758.00000		0.00000		140.00000		345.00000		356.00000		14.00000		0.00000		1.00000		0.00000		53.00000		0.00000		353.00000		
aq		4.00000		0.00000		1.00000		0.00000		0.00000		0.00000		0.00000		1.00000		16.00000		0.00000		0.00000		0.00000		0.00000		1.00000		1.00000		0.00000		0.00000		0.00000		7.00000		0.00000		51.00000		0.00000		1.00000		0.00000		0.00000		1.00000		63.00000		
ar		1206.00000		275.00000		1205.00000		2786.00000		7860.00000		40.00000		1225.00000		21.00000		1867.00000		3.00000		1120.00000		1023.00000		779.00000		803.00000		690.00000		133.00000		17.00000		1216.00000		1654.00000		4465.00000		32.00000		140.00000		48.00000		24.00000		1720.00000		7.00000		3859.00000		
as		148.00000		13.00000		166.00000		12.00000		2530.00000		4.00000		8.00000		687.00000		1075.00000		2.00000		720.00000		21.00000		45.00000		7.00000		629.00000		192.00000		5.00000		2.00000		2445.00000		2925.00000		320.00000		3.00000		7.00000		0.00000		240.00000		2.00000		14184.00000		
at		697.00000		8.00000		535.00000		2.00000		9465.00000		78.00000		3.00000		1660.00000		11003.00000		0.00000		7.00000		106.00000		193.00000		12.00000		789.00000		6.00000		1.00000		242.00000		346.00000		1866.00000		1156.00000		3.00000		13.00000		2.00000		35.00000		12.00000		18263.00000		
au		1.00000		9.00000		77.00000		242.00000		10.00000		7.00000		425.00000		1.00000		3.00000		0.00000		12.00000		302.00000		33.00000		149.00000		1.00000		6.00000		2.00000		148.00000		1610.00000		854.00000		0.00000		6.00000		2.00000		18.00000		0.00000		2.00000		79.00000		
av		460.00000		0.00000		4.00000		0.00000		5642.00000		0.00000		2.00000		1.00000		981.00000		0.00000		0.00000		6.00000		0.00000		8.00000		388.00000		0.00000		1.00000		3.00000		4.00000		0.00000		3.00000		7.00000		0.00000		0.00000		99.00000		0.00000		23.00000		
aw		765.00000		9.00000		2.00000		4.00000		76.00000		41.00000		0.00000		14.00000		75.00000		0.00000		46.00000		38.00000		18.00000		97.00000		6.00000		4.00000		0.00000		17.00000		212.00000		5.00000		1.00000		0.00000		1.00000		0.00000		48.00000		2.00000		692.00000		
ax		34.00000		1.00000		2.00000		2.00000		91.00000		0.00000		0.00000		0.00000		125.00000		0.00000		0.00000		1.00000		1.00000		0.00000		26.00000		34.00000		1.00000		1.00000		1.00000		6.00000		2.00000		0.00000		8.00000		3.00000		13.00000		1.00000		255.00000		
ay		72.00000		185.00000		9.00000		8.00000		554.00000		14.00000		8.00000		7.00000		378.00000		0.00000		3.00000		62.00000		104.00000		35.00000		76.00000		10.00000		0.00000		12.00000		1536.00000		26.00000		4.00000		4.00000		12.00000		0.00000		5.00000		3.00000		5668.00000		
az		79.00000		0.00000		1.00000		3.00000		89.00000		0.00000		0.00000		3.00000		244.00000		1.00000		0.00000		1.00000		0.00000		0.00000		37.00000		1.00000		0.00000		0.00000		1.00000		1.00000		5.00000		1.00000		0.00000		0.00000		40.00000		46.00000		16.00000		
a_		0.00000		0.00000		0.00000		0.00000		0.00000		0.00000		1.00000		0.00000		0.00000		0.00000		0.00000		0.00000		0.00000		0.00000		0.00000		0.00000		0.00000		0.00000		1.00000		0.00000		0.00000		0.00000		0.00000		0.00000		0.00000		0.00000		27205.00000		
ba		5.00000		384.00000		1098.00000		228.00000		3.00000		7.00000		110.00000		26.00000		61.00000		3.00000		64.00000		638.00000		176.00000		817.00000		2.00000		29.00000		0.00000		593.00000		1061.00000		450.00000		20.00000		5.00000		2.00000		4.00000		88.00000		6.00000		79.00000		
bb		38.00000		3.00000		26.00000		0.00000		106.00000		0.00000		0.00000		0.00000		91.00000		0.00000		0.00000		65.00000		1.00000		0.00000		26.00000		1.00000		5.00000		8.00000		8.00000		1.00000		3.00000		0.00000		0.00000		1.00000		61.00000		0.00000		20.00000		
bc		6.00000		1.00000		5.00000		2.00000		12.00000		0.00000		1.00000		4.00000		1.00000		0.00000		1.00000		7.00000		0.00000		0.00000		29.00000		3.00000		0.00000		2.00000		3.00000		0.00000		5.00000		0.00000		0.00000		0.00000		0.00000		0.00000		83.00000		
bd		5.00000		0.00000		1.00000		0.00000		3.00000		0.00000		0.00000		0.00000		13.00000		0.00000		0.00000		0.00000		1.00000		0.00000		11.00000		0.00000		0.00000		0.00000		1.00000		0.00000		13.00000		0.00000		2.00000		0.00000		0.00000		0.00000		8.00000		
be		592.00000		2.00000		1680.00000		333.00000		1584.00000		738.00000		498.00000		343.00000		888.00000		1.00000		12.00000		1030.00000		6.00000		417.00000		2.00000		1.00000		5.00000		2234.00000		634.00000		1164.00000		0.00000		14.00000		10.00000		1.00000		148.00000		3.00000		5606.00000		
bf		1.00000		1.00000		0.00000		0.00000		0.00000		1.00000		0.00000		1.00000		1.00000		0.00000		1.00000		0.00000		1.00000		0.00000		2.00000		1.00000		0.00000		0.00000		0.00000		0.00000		4.00000		0.00000		0.00000		0.00000		0.00000		0.00000		6.00000		
bg		0.00000		0.00000		1.00000		0.00000		3.00000		0.00000		0.00000		0.00000		0.00000		0.00000		0.00000		0.00000		1.00000		0.00000		0.00000		0.00000		1.00000		3.00000		0.00000		2.00000		1.00000		0.00000		0.00000		0.00000		0.00000		0.00000		5.00000		
bh		13.00000		0.00000		1.00000		3.00000		7.00000		0.00000		0.00000		0.00000		4.00000		0.00000		0.00000		0.00000		0.00000		0.00000		5.00000		1.00000		0.00000		0.00000		1.00000		0.00000		9.00000		0.00000		0.00000		0.00000		0.00000		0.00000		4.00000		
